"Documento","Estado","Evento","Municipios","Solicitud.de.Declaratoria","Fecha.publicacion.DOF","Acuerdo.Comite.Tecnico","Sectores.Afectados","Competencia","Apoyos.Parciales.Inmdiatos","Gastos.de.Evaluacion","Anticipos","Acciones.de.Restauracion","Aportacion.FONDEN","Aportacion.Estatal","Aportacion.Dependencia.Federal","Recursos.Fondo.Guerrero","Aportacion.Total"
2013,"Guerrero","Lluvia severa del 14 de septiembre de 2013",56,"15/09/13","23/09/13","SE.156.03 22-nov-13","Hidraulico","Estatal",0,NA,NA,265,383118162.22,534631635.46,0,NA,917749797.68
2013,"Guerrero","Lluvia severa del 14 de septiembre de 2013",56,"15/09/13","23/09/13","SE.158.01 10-Dic-13","Hidraulico","Federal",123892000,NA,NA,38,2887661634.28,0,0,NA,2887661634.28
2013,"Guerrero","Lluvia severa del 14 de septiembre de 2013",56,"15/09/13","23/09/13","SE.158.01 10-Dic-13","Pesquero y Acuicola","Federal",0,NA,NA,1,12701859.04,0,0,NA,12701859.04
2013,"Guerrero","Lluvia severa del 14 de septiembre de 2013",56,"15/09/13","23/09/13","SE.154.07 31-oct-13","Salud","Estatal",4157432,NA,NA,72,20690152,20966286.4,0,NA,41656438.4
2013,"Guerrero","Lluvia severa del 14 de septiembre de 2013",56,"15/09/13","23/09/13","SE.154.07 31-oct-13","Turistico","Federal",1681759.64,NA,NA,5,1681759.64,0,0,NA,1681759.64
2013,"Guerrero","Lluvia severa del 14 de septiembre de 2013",56,"15/09/13","23/09/13","SE.155.06 06-11-13","Vivienda","",35203000,2685415.5,NA,7673,431296463.5,428668801.6,0,NA,859965265.1
2013,"Hidalgo","Lluvia severa por huracan  Ingrid  del 13 al 18 de septiembre 2013",31,"20/09/13","27/09/13","SE.155.15 06-11-13","Carretero","Estatal",41482776.22,NA,NA,296,437836496.58,446755533.36,0,NA,884592029.94
2013,"Hidalgo","Lluvia severa por huracan  Ingrid  del 13 al 18 de septiembre 2013",31,"20/09/13","27/09/13","SE.156.09 22-nov-13","Carretero","Federal",0,NA,NA,14,295655568,0,0,NA,295655568
2013,"Hidalgo","Lluvia severa por huracan  Ingrid  del 13 al 18 de septiembre 2013",31,"20/09/13","27/09/13","SE.154.08 31-oct-13","Hidraulico","Estatal",2350864.8,NA,NA,56,6210742.62,6647231.62,0,NA,12857974.24
2013,"Hidalgo","Lluvia severa por huracan  Ingrid  del 13 al 18 de septiembre 2013",31,"20/09/13","27/09/13","SE.154.08 31-oct-13","Hidraulico","Federal",15792000,NA,NA,10,76712512.64,0,0,NA,76712512.64
2013,"Hidalgo","Lluvia severa por huracan  Ingrid  del 13 al 18 de septiembre 2013",31,"20/09/13","27/09/13","SE.154.08 31-oct-13","Salud","Estatal",0,NA,NA,9,1063303.56,1132222.48,0,NA,2195526.04
2013,"Hidalgo","Lluvia severa por huracan  Ingrid  del 13 al 18 de septiembre 2013",31,"20/09/13","27/09/13","SE.154.08 31-oct-13","Vivienda","",0,NA,NA,154,2014344.8,2022165.6,0,NA,4036510.4
2013,"Jalisco","Luvia severa del 14 al 18 de septiembre 2013",29,"21/09/13","04/10/13","SE.156.05 22-nov-13","Carretero","Estatal",0,NA,NA,67,190568691,203467888,0,NA,394036579
2013,"Jalisco","Luvia severa del 14 al 18 de septiembre 2013",29,"21/09/13","04/10/13","SE.156.05 22-nov-13","Carretero","Federal",0,NA,NA,2,21993916.96,0,0,NA,21993916.96
2013,"Jalisco","Luvia severa del 14 al 18 de septiembre 2013",29,"21/09/13","04/10/13","SE.154.09 31-oct-13","Hidraulico","Estatal",0,NA,NA,24,4642542.5,4959458.8,0,NA,9602001.3
2013,"Jalisco","Luvia severa del 14 al 18 de septiembre 2013",29,"21/09/13","04/10/13","SE.154.09 31-oct-13","Hidraulico","Federal",0,NA,NA,5,10759514.48,0,0,NA,10759514.48
2013,"Jalisco","Luvia severa del 14 al 18 de septiembre 2013",29,"21/09/13","04/10/13","SE.154.09 31-oct-13","Vivienda","",0,NA,NA,37,1595480.8,1931549.6,0,NA,3527030.4
2013,"Michocan","Lluvia severa del 15 de septiembre 2013",10,"19/09/13","30/09/13","SE.155.16 06-11-13","Carretero","Estatal",0,NA,NA,37,100895924.6,106923480.96,0,NA,207819405.56
2013,"Michocan","Lluvia severa del 15 de septiembre 2013",10,"19/09/13","30/09/13","SE.157.04 02-Dic-13","Carretero","Federal",36816980,NA,NA,13,142744828,0,0,NA,142744828
2013,"Michocan","Lluvia severa del 15 de septiembre 2013",10,"19/09/13","30/09/13","SE.155.08 06-11-13","Forestal y de Viveros","Estatal",0,NA,NA,12,6369874.28,6369874.28,0,NA,12739748.56
2013,"Michocan","Lluvia severa del 15 de septiembre 2013",10,"19/09/13","30/09/13","SE.154.10 31-oct-13","Hidraulico","Estatal",0,NA,NA,46,7471684.94,7471917.12,NA,NA,14943602.06
2013,"Michocan","Lluvia severa del 15 de septiembre 2013",10,"19/09/13","30/09/13","SO.50.19 08-11-13","Hidraulico","Federal",0,NA,NA,12,440700807.24,0,0,NA,440700807.24
2013,"Michocan","Lluvia severa del 15 de septiembre 2013",10,"19/09/13","30/09/13","SE.154.10 31-oct-13","Urbano","",0,NA,NA,73,48282911.06,50925424.96,0,NA,99208336.02
2013,"Michocan","Lluvia severa del 15 de septiembre 2013",10,"19/09/13","30/09/13","SE.154.10 31-oct-13","Vivienda","",0,NA,NA,749,25397070.4,26071877.6,0,NA,51468948
2013,"Morelos","Inundacion fluvial del 13 al 16 de septiembre",4,"19/09/13","26/09/13","SE.155.09 06-11-13","Carretero","Estatal",0,NA,NA,11,8798400,9287200,0,NA,18085600
2013,"Morelos","Inundacion fluvial del 13 al 16 de septiembre",4,"19/09/13","26/09/13","SE.155.09 06-11-13","Carretero","Federal",0,NA,NA,1,830960,0,0,NA,830960
2013,"Morelos","Inundacion fluvial del 13 al 16 de septiembre",4,"19/09/13","26/09/13","SE.155.09 06-11-13","Hidraulico","Estatal",462685.86,NA,NA,20,462685.86,0,0,NA,462685.86
2013,"Morelos","Inundacion fluvial del 13 al 16 de septiembre",4,"19/09/13","26/09/13","SO.50.20 08-11-13","Hidraulico","Federal",0,NA,NA,10,105279995.3,0,0,NA,105279995.3
2013,"Nayarit","Lluvia severa e inundacion fluvial el 17 y 18 de septiembre 2013",3,"20/09/13","02/10/13","SE.155.12 06-11-13","Carretero","Estatal",41877000,NA,NA,27,49172904,76564987.16,0,NA,125737891.16
2013,"Nayarit","Lluvia severa e inundacion fluvial el 17 y 18 de septiembre 2013",3,"20/09/13","02/10/13","SE.155.12 06-11-13","Hidraulico","Estatal",28012000,NA,NA,25,39840960,40985880,0,NA,80826840
2013,"Nayarit","Lluvia severa e inundacion fluvial el 17 y 18 de septiembre 2013",3,"20/09/13","02/10/13","SE.154.22 31-10-13","Vivienda","",0,NA,NA,154,1652144,1679028,0,NA,3331172
2013,"Nayarit","Lluvia severa e inundacion Fluvial el 17 y 18 de septiembre de 2013",3,"20/09/13","11/10/13","SE.155.11 06-11-13","Carretero","Estatal",36931482.34,NA,NA,50,36931482.34,37884739.16,0,NA,74816221.5
2013,"Nayarit","Lluvia severa e inundacion Fluvial el 17 y 18 de septiembre de 2013",3,"20/09/13","11/10/13","SE.155.11 06-11-13","Hidraulico","Estatal",23617500,NA,NA,14,37743820,39104000,0,NA,76847820
2013,"Nayarit","Lluvia severa e inundacion Fluvial el 17 y 18 de septiembre de 2013",3,"20/09/13","11/10/13","SE.154.23 31-10-13","Vivienda","",0,NA,NA,54,448229.6,480001.6,0,NA,928231.2
2013,"Nuevo Leon","Lluvia severa, inundacion pluvial y fluvial del 14 al 17 de septiembre de 2013",22,"18/09/13","01/10/13","SE.156.06 22-nov-13","Carretero","Estatal",75196266.32,NA,NA,619,842588595.24,876718675.48,0,NA,1719307270.72
2013,"Nuevo Leon","Lluvia severa, inundacion pluvial y fluvial del 14 al 17 de septiembre de 2013",22,"18/09/13","01/10/13","SE.155.10 06-11-13","Hidraulico","Estatal",0,NA,NA,8,7113409.58,7113409.58,0,NA,14226819.16
2013,"Nuevo Leon","Lluvia severa, inundacion pluvial y fluvial del 14 al 17 de septiembre de 2013",22,"18/09/13","01/10/13","SO.50.21 08-11-13","Urbano","",0,NA,NA,178,226832712.24,226971998.62,0,NA,453804710.86
2013,"Nuevo Leon","Lluvia severa, inundacion pluvial y fluvial del 14 al 17 de septiembre de 2013",22,"18/09/13","01/10/13","SE.155.10 06-11-13","Vivienda","",0,NA,NA,575,8311104,8407209.6,0,NA,16718313.6
2013,"Oaxaca","Movimiento de ladera del 9 de septiembre de 2013",1,"11/09/13","23/09/13","SE.155.14 06-11-13","Carretero","Estatal",0,NA,NA,5,16130400,16228160,0,NA,32358560
2013,"Oaxaca","Movimiento de ladera del 9 de septiembre de 2013",1,"11/09/13","23/09/13","SE.154.13 31-oct-13","Vivienda","",0,NA,NA,30,868372,878035.2,0,NA,1746407.2
2013,"Oaxaca","Lluvia severa del 12 al 14 de septiembre de 2013",10,"14/09/13","23/09/13","SE.157.05 02-Dic-13","Carretero","Estatal",0,NA,NA,29,46364560,50478376,0,NA,96842936
2013,"Oaxaca","Lluvia severa del 12 al 14 de septiembre de 2013",10,"14/09/13","23/09/13","SE.157.05 02-Dic-13","Carretero","Federal",1847476,NA,NA,2,17899668,0,0,NA,17899668
2013,"Oaxaca","Lluvia severa del 12 al 14 de septiembre de 2013",10,"14/09/13","23/09/13","SE.155.13 06-11-13","Hidraulico","Estatal",3095668.16,NA,NA,17,3380005.94,3381196.92,0,NA,6761202.86
2013,"Oaxaca","Lluvia severa del 12 al 14 de septiembre de 2013",10,"14/09/13","23/09/13","SE.154.12 31-oct-13","Hidraulico","Federal",0,NA,NA,1,7038720,0,0,NA,7038720
2013,"Oaxaca","Lluvia severa del 12 al 14 de septiembre de 2013",10,"14/09/13","23/09/13","SE.157.22 02-dic-13","Vivienda","",0,NA,NA,41,4090704.22,3995827.2,0,NA,8086531.42
2013,"Oaxaca","Movimiento de ladera ocasionado por Tormenta Tropical Manuel y huracan Ingrid del 19 al 23 de septiembre 2013",22,"24/09/13","04/09/13","SE.157.07 02-Dic-13","Carretero","Estatal",0,NA,NA,71,48680960.64,71619953.6,NA,NA,120300914.24
2013,"Oaxaca","Movimiento de ladera ocasionado por Tormenta Tropical Manuel y huracan Ingrid del 19 al 23 de septiembre 2013",22,"24/09/13","04/09/13","SE.157.07 02-Dic-13","Hidraulico","Estatal",0,NA,NA,23,2874458.9,3258330.46,NA,NA,6132789.36
2013,"Oaxaca","Movimiento de ladera ocasionado por Tormenta Tropical Manuel y huracan Ingrid del 19 al 23 de septiembre 2013",22,"24/09/13","04/09/13","SE.157.07 02-Dic-13","Vivienda","",0,NA,NA,388,24905488,24976063.2,0,NA,49881551.2
2013,"Oaxaca","Tormenta Tropical  Manuel  y huracan  Ingrid  (Lluvia severa) del 13 al 17 de septiembre de 2013",47,"20/09/13","09/10/13","SE.157.06 02-Dic-13","Carretero","Estatal",0,NA,NA,181,173730464.42,201279530.4,NA,NA,375009994.82
2013,"Oaxaca","Tormenta Tropical  Manuel  y huracan  Ingrid  (Lluvia severa) del 13 al 17 de septiembre de 2013",47,"20/09/13","09/10/13","SE.157.06 02-Dic-13","Carretero","Federal",1824164,NA,NA,7,127611094.02,0,0,NA,127611094.02
2013,"Oaxaca","Tormenta Tropical  Manuel  y huracan  Ingrid  (Lluvia severa) del 13 al 17 de septiembre de 2013",47,"20/09/13","09/10/13","SE.157.06 02-Dic-13","Hidraulico","Estatal",1426920,NA,NA,27,3205981.86,3357991.14,0,NA,6563973
2013,"Oaxaca","Tormenta Tropical  Manuel  y huracan  Ingrid  (Lluvia severa) del 13 al 17 de septiembre de 2013",47,"20/09/13","09/10/13","SE.156.07 22-nov-13","Hidraulico","Federal",0,NA,NA,6,21311680,0,NA,NA,21311680
2013,"Oaxaca","Tormenta Tropical  Manuel  y huracan  Ingrid  (Lluvia severa) del 13 al 17 de septiembre de 2013",47,"20/09/13","09/10/13","SE.157.06 02-Dic-13","Vivienda","",0,NA,NA,221,23222662.4,23228152,0,NA,46450814.4
2013,"Puebla","Lluvia severa del 12 al 16 de septiembre de 2013",31,"16/09/13","25/09/13","SE.157.08  2-dic-13","Carretero","Estatal",54336478.16,NA,NA,98,329234824.22,341226255.7,0,NA,670461079.92
2013,"Puebla","Lluvia severa del 12 al 16 de septiembre de 2013",31,"16/09/13","25/09/13","SE.154.14 31-oct-13","Vivienda","",0,NA,NA,563,7326773.6,7336662.4,0,NA,14663436
2013,"San Luis Potosi","Lluvia severa del 20 y 21 de septiembre 2013",1,"01/10/13","19/10/13","SE.154.24 31-10-13","Carretero","Estatal",0,NA,NA,5,1167979.14,1540908.16,0,NA,2708887.3
2013,"San Luis Potosi","Lluvia severa del 20 y 21 de septiembre 2013",1,"01/10/13","19/10/13","SE.154.16 31-oct-13","Vivienda","",0,NA,NA,57,337272,343137.6,0,NA,680409.6
2013,"San Luis Potosi","Lluvia severa e inundacion del 12 al 18 de septiembre 2013",22,"24/09/13","04/10/13","SE.154.15 31-oct-13","Carretero","Estatal",3808576.38,NA,NA,176,166360408.52,166864845.42,0,NA,333225253.94
2013,"San Luis Potosi","Lluvia severa e inundacion del 12 al 18 de septiembre 2013",22,"24/09/13","04/10/13","SE.154.15 31-oct-13","Residuos Solidos","Estatal",0,NA,NA,3,7820800,7820800,0,NA,15641600
2013,"San Luis Potosi","Lluvia severa e inundacion del 12 al 18 de septiembre 2013",22,"24/09/13","04/10/13","SE.154.15 31-oct-13","Urbano","",0,NA,NA,2,6931737.66,8679659.2,0,NA,15611396.86
2013,"San Luis Potosi","Lluvia severa e inundacion del 12 al 18 de septiembre 2013",22,"24/09/13","04/10/13","SE.154.15 31-oct-13","Vivienda","",0,NA,NA,449,4876268.8,5232115.2,0,NA,10108384
2013,"Sinaloa","Huracan (lluvia severa) del 18 y 19 de septiembre 2013",9,"19/09/13","26/09/13","SE.159.04 20-Dic-13","Carretero","Estatal",31024700,NA,NA,220,757296116.04,808155231.52,0,NA,1565451347.56
2013,"Sinaloa","Huracan (lluvia severa) del 18 y 19 de septiembre 2013",9,"19/09/13","26/09/13","SE.157.09 02-Dic-13","Carretero","Federal",4042000,NA,NA,9,98976736,0,0,NA,98976736
2013,"Sinaloa","Huracan (lluvia severa) del 18 y 19 de septiembre 2013",9,"19/09/13","26/09/13","SO.50.23 08-11-13","Cultura","Estatal",0,NA,NA,1,2296382.4,0,0,NA,2296382.4
2013,"Sinaloa","Huracan (lluvia severa) del 18 y 19 de septiembre 2013",9,"19/09/13","26/09/13","SE.157.09 02-Dic-13","Educativo","Estatal",16663850,NA,NA,291,16663850,16693070.84,0,NA,33356920.84
2013,"Sinaloa","Huracan (lluvia severa) del 18 y 19 de septiembre 2013",9,"19/09/13","26/09/13","SO.50.23 08-11-13","Hidraulico","Estatal",0,NA,NA,172,50002773.6,50002773.6,0,NA,100005547.2
2013,"Sinaloa","Huracan (lluvia severa) del 18 y 19 de septiembre 2013",9,"19/09/13","26/09/13","SE.157.09 02-Dic-13","Hidraulico","Federal",41307348.72,NA,NA,158,643970053.5,0,0,NA,643970053.5
2013,"Sinaloa","Huracan (lluvia severa) del 18 y 19 de septiembre 2013",9,"19/09/13","26/09/13","SE.158.03 10-Dic-13","Pesquero y Acuicola","Federal",0,NA,NA,10,160169702,0,0,NA,160169702
2013,"Sinaloa","Huracan (lluvia severa) del 18 y 19 de septiembre 2013",9,"19/09/13","26/09/13","SO.50.23 08-11-13","Salud","Estatal",0,NA,NA,8,2336808.04,2387616.92,0,NA,4724424.96
